geoid,st_name,st_abbr,co_name,farmLandAc,1995,2000,2001,2003,2004,2005,2010,2015
18127,Indiana,IN,Porter,120402,34055.8,34638.1,39855.9,33544.7,2726.1,39667.6,20378.2,24015.6
18129,Indiana,IN,Posey,228836,39447.8,48808.2,46890.2,38242.5,3875.6,41667.4,38578.3,35099.2
18131,Indiana,IN,Pulaski,216477,61383.7,60648.2,70965.8,55320.7,3995.7,60778.4,36281.4,42207.6
18133,Indiana,IN,Putnam,197751,48458.8,40043.2,34869.7,32573.6,3105.2,41384.2,20915.7,29795.4
18135,Indiana,IN,Randolph,241172,17477.6,39030.7,54794,59538.8,8512.4,40253.4,33154.3,57159.1
18137,Indiana,IN,Ripley,166570,35789.5,26723.2,52402.5,27493.3,2675.9,32080.3,29281.3,23124.9
18139,Indiana,IN,Rush,207653,57543.2,60604.9,65936.1,56523.4,8116.3,54455.8,44593.7,32945.8
18141,Indiana,IN,St. Joseph,152090,22100.2,38185.7,39280.8,45775.4,2123.7,33362,28180,24790.3
18143,Indiana,IN,Scott,51422,10103,7960.9,15588.8,4895.4,1053.6,9063,8429.6,5612.6
18145,Indiana,IN,Shelby,233141,54813.3,58885,63303,54128.9,7758.4,50265.2,43206,26764.6
18147,Indiana,IN,Spencer,170387,26108.5,35073.1,31240.5,17544.7,2527,25843.8,26397,23007.5
18149,Indiana,IN,Starke,133550,35693.6,34695.6,37200.8,30523,2110.4,35559,20115.3,22190.6
18151,Indiana,IN,Steuben,104539,25110.6,19634.9,15315.1,18163.2,1365.9,17932,17660.8,22106.8
18153,Indiana,IN,Sullivan,170267,30804.5,40785.8,37940.9,32936.8,3032.2,33246.5,32850.8,28621
18155,Indiana,IN,Switzerland,50558,4514.4,2221.8,3843.4,2976.6,345.4,3129.8,4721.9,2961.6
18157,Indiana,IN,Tippecanoe,219674,77373.2,60950.1,54131.5,47449.1,4318.1,62985.7,31588.8,40141.3
18159,Indiana,IN,Tipton,145236,38240.7,42755.2,46671.8,39738.5,5826.3,38384.7,29974.2,21574.3
18161,Indiana,IN,Union,74498,9296.8,14548.9,21609.3,21517.4,2691.2,14650.8,11478.3,18573.5
18163,Indiana,IN,Vanderburgh,76572,17990.2,22843.4,21252.5,13842.2,1595.3,16645.8,12717.5,11348.1
18165,Indiana,IN,Vermillion,118369,30950.9,22681.4,20299.8,16260.9,1141.3,18987.5,13306.4,17122.1
18167,Indiana,IN,Vigo,117492,41012.1,31625.7,27664.3,24775.9,2370.1,35074.8,16141.3,18627.5
18169,Indiana,IN,Wabash,197705,19739.6,39351.6,40818.2,46210.4,3638.8,34466.9,29237,28068.7
18171,Indiana,IN,Warren,175981,60295.4,51561.4,44454.6,42798.5,3709.2,55011.9,28111.7,38000.5
18173,Indiana,IN,Warrick,99498,16789.4,21682.6,20261.4,9886,1754.5,18013.6,16963.2,16421.4
18175,Indiana,IN,Washington,199572,10101,38621.3,6533.2,17371.4,7018.8,30129.6,19200.5,12498.2
18177,Indiana,IN,Wayne,155812,16347.3,28424.7,38557.6,40909.7,5629.2,28745.6,22499.1,38708.7
18179,Indiana,IN,Wells,200239,46482.8,44309.1,33211.3,42705.8,3279.5,40493.5,35145,38646.2
18181,Indiana,IN,White,288043,70237.4,71605,83950,69660.3,5365.6,82897.7,49837,58124.5
18183,Indiana,IN,Whitley,140026,32435.7,26948.6,21586.4,28883.6,2333.1,27914,26400.7,29417.6
19001,Iowa,IA,Adair,323528,29841.3,27149,42215.7,36667.2,6297.5,48726.8,25427.9,30233.9
19003,Iowa,IA,Adams,229266,14247.5,16645.2,24886.5,21974.9,4369.8,29531.6,16735.5,20697.2
19005,Iowa,IA,Allamakee,289171,40410,25247.6,26104.7,22750.6,1764.6,19568.8,18142.7,22439.8
19007,Iowa,IA,Appanoose,187778,3952,26583.9,15041.9,39162.2,7442,14853.8,12546.4,14693.6
19009,Iowa,IA,Audubon,280377,25499.3,21403.6,27059.1,19540.5,4830.1,24045.8,12150,21528
19011,Iowa,IA,Benton,422195,45151,62002.5,75100.3,69961,12011.7,60524.1,72870.9,47290.3
19013,Iowa,IA,Black Hawk,296922,78513.7,48454.1,52543.7,44481.3,1551,39844.1,30196.9,33988.7
19015,Iowa,IA,Boone,313499,28394.8,36956.1,44719,53164.1,4133.3,33722.7,32193.5,37602.6
19017,Iowa,IA,Bremer,271460,63335.4,39144,42032.2,36883,1298.9,32469.6,25468.8,29020.9
19019,Iowa,IA,Buchanan,342063,89626.1,52744.4,57615.4,51416.2,1743,46444.7,39336.1,44397.2
19021,Iowa,IA,Buena Vista,360946,33501.8,32147.6,33161.1,36014.8,2653.1,22183.8,10925.1,13482
19023,Iowa,IA,Butler,362748,21071.6,28467.9,32755.9,23696,1554.8,25136.5,26202.5,26477.2
19025,Iowa,IA,Calhoun,358137,40892,34522.6,43353.6,30492,6400.3,36203.3,19707.1,34407.7
19027,Iowa,IA,Carroll,358973,41367.6,32901.5,42033,29738.8,6610.1,37386.4,20157.4,36884.1
19029,Iowa,IA,Cass,289989,35339.9,31819.8,48407.6,42360.9,6549.9,56763.1,32704.9,37636.4
19031,Iowa,IA,Cedar,312617,41081.9,48766.9,59449.8,57069.8,9109.2,50236.1,59836.4,37918
19033,Iowa,IA,Cerro Gordo,326975,22587.8,30542.6,35783.7,25703,1400.2,27673.9,27228.7,27456.8
19035,Iowa,IA,Cherokee,337467,29505,28218.7,29001.6,31127.6,6139.5,18844.9,10071.6,12540.1
19037,Iowa,IA,Chickasaw,299238,68196.4,45355.6,46711.3,40432.3,1615.2,35836.6,29855.1,34516.4
19039,Iowa,IA,Clarke,168879,3279.2,26596.6,19595.6,36409.6,7584.2,16082.2,12675.5,16581.3
19041,Iowa,IA,Clay,318742,28821.2,28849.7,29609.1,32569.1,2945.1,20024.4,10643.6,12876.1
19043,Iowa,IA,Clayton,398091,77561.9,48914.7,49833.2,43821.7,1898,37331.9,32242.7,36199.5
19045,Iowa,IA,Clinton,417173,48283,62363,75402.6,72175.6,10042.2,62590.4,73784,47714.7
19047,Iowa,IA,Crawford,450682,45166.9,35775.5,45706.9,32945.2,8275.7,41935.2,21365.6,42674.7
19049,Iowa,IA,Dallas,306481,27319.7,34278.3,40498.2,47559.1,4287,30981.7,26720.6,31217.5
19051,Iowa,IA,Davis,214053,6362.9,12362.5,15720.3,23227.9,1364.7,24546.5,20454.8,24914.3
19053,Iowa,IA,Decatur,231475,4089.7,24179.5,23011,38335.2,8779.8,16608.5,10865.2,15789.3
19055,Iowa,IA,Delaware,365671,97709,58744.5,62530.6,55190,1650.9,50034.6,41664,48040.6
19057,Iowa,IA,Des Moines,172579,33351.6,26435.2,35499,44649,1247.5,45360.4,34746.3,35292.5
19059,Iowa,IA,Dickinson,187276,17181,17387.3,18147,19563.8,2016.3,11901.6,6119.3,7981.7
19061,Iowa,IA,Dubuque,291594,65460.4,42898.5,44732.4,39613.9,1770.5,35555.3,29972,36187.2
19063,Iowa,IA,Emmet,218906,22046,22929.3,23129.5,25899.8,2103.1,15063.9,7644.5,10292.8
19065,Iowa,IA,Fayette,388684,103146.5,63134.8,65362.4,56379.3,2242.4,50764,40095,43872.8
19067,Iowa,IA,Floyd,317841,18092,26050.2,30135.7,21285.5,1308.5,22120.3,22914.5,23664.7
19069,Iowa,IA,Franklin,355329,24654.1,32829.2,38961.1,27976.6,1509.6,29988.2,30582.1,33110
19071,Iowa,IA,Fremont,287538,25417.5,28916.7,44010.7,40005.4,5610.1,50233.5,24971.9,30994.4
19073,Iowa,IA,Greene,356889,39512,32674.2,40974.5,29078,6608.5,35825.3,18889.5,33893.6
19075,Iowa,IA,Grundy,317975,32835.8,40521.7,49196,57813.6,4349.6,36564.2,30109.9,37204.9
19077,Iowa,IA,Guthrie,327723,27223.4,22022.6,27236.3,20014.5,6854.3,24448.5,12347.3,22606.2
19079,Iowa,IA,Hamilton,327040,33997.2,43226.5,52130.5,61928.9,4583.1,41246.1,38577.7,44675
19081,Iowa,IA,Hancock,353383,22945.9,32238.3,37868.7,26333.6,1235.3,27505,28735.6,31826
19083,Iowa,IA,Hardin,332295,36053.8,42445.3,51295.2,63084.4,4969,43356.7,35824,43121
19085,Iowa,IA,Harrison,393798,39770.9,32052,40560.7,29275.7,7884.5,36541.6,19455.5,34446.9
19087,Iowa,IA,Henry,269604,35852,29720.6,37663.5,52007.7,1502.8,52112.1,36798.1,39478.8
19089,Iowa,IA,Howard,299850,57565.6,39477.2,40450.1,34772.9,1522.3,33249.8,27381,29481.1
19091,Iowa,IA,Humboldt,234904,17397.7,24899.8,29429.4,20644.7,1012.8,20724,20168.7,22923
19093,Iowa,IA,Ida,260976,30150.1,23239,29416.9,21716.8,5014.2,26413.4,13309.5,25223.5
19095,Iowa,IA,Iowa,335922,29875.5,39770,45794.7,44819,9040.3,37115.6,44124.3,30060.9
